FS_LUT_ID,Label,R,A,S,Unnamed: 0,eid,NLL,EV,MSLL,BIC,Skew,Kurtosis,fold
11101.0,lh_G&S_frontomargin,-23.1251,56.7958,-8.8575,0,lh_G&S_frontomargin_thickness,-9080.251805201742,0.2672005779212496,-0.1466539576103146,-18119.41929957062,0.2991102670510577,1.048609629237768,6
11102.0,lh_G&S_occipital_inf,-37.2018,-82.6295,-13.1777,1,lh_G&S_occipital_inf_thickness,-9023.172408577988,0.2100498958390295,-0.1119353795003661,-18005.260506323113,0.0991960889950292,0.27766665109373,6
11103.0,lh_G&S_paracentral,-7.9944,-33.1159,67.397,2,lh_G&S_paracentral_thickness,-3026.623552602711,0.2159860775763845,-0.1004504503673482,-6012.16279437256,-0.055539635581794,0.3676787809994735,6
11104.0,lh_G&S_subcentral,-55.8942,-11.3545,14.5476,3,lh_G&S_subcentral_thickness,-7521.191733780877,0.2637205738352036,-0.1267809609029273,-15001.299295211473,0.085260616177625,0.3681203272704901,6
11105.0,lh_G&S_transv_frontopol,-14.2706,63.5673,-0.6889,4,lh_G&S_transv_frontopol_thickness,-3077.5067537058007,0.2516740034565344,-0.1246820844959391,-6113.92919657874,0.2169618673254362,0.911350534626334,6
11106.0,lh_G&S_cingul-Ant,-7.7783,38.9848,9.0119,5,lh_G&S_cingul-Ant_thickness,-12441.754152921529,0.2813058956259483,-0.1579332742205289,-24842.423995010195,0.0769943194601497,0.8124778490856445,6
11107.0,lh_G&S_cingul-Mid-Ant,-7.2655,16.0669,34.2914,6,lh_G&S_cingul-Mid-Ant_thickness,-1789.6149979827755,0.2273807778098192,-0.1169113078318073,-3538.14568513269,-0.4375666420236942,0.8760537951547783,6
11108.0,lh_G&S_cingul-Mid-Post,-7.1176,-11.6682,40.5827,7,lh_G&S_cingul-Mid-Post_thickness,-13399.40285837549,0.337019995258788,-0.1992659260511384,-26757.721682888063,-0.1657884111908523,0.7032697267989058,6
11109.0,lh_G_cingul-Post-dorsal,-3.7206,-38.2292,30.6738,8,lh_G_cingul-Post-dorsal_thickness,-9273.15345454328,0.2998412178722185,-0.1503573857504145,-18505.222875223648,-0.0770127452692247,0.5424593803231383,6
11110.0,lh_G_cingul-Post-ventral,-7.5337,-48.8825,6.368,9,lh_G_cingul-Post-ventral_thickness,2453.59627948444,0.3471264376692039,-0.2032489054836299,4948.276869801742,-0.0034987554536709,0.2557037558143781,6
11111.0,lh_G_cuneus,-5.2448,-81.9967,17.0077,10,lh_G_cuneus_thickness,-13983.500069940776,0.384592357250235,-0.245578473200553,-27925.91582904869,0.3374411574702851,0.7643863882018911,6
11112.0,lh_G_front_inf-Opercular,-49.8475,11.5337,9.0836,11,lh_G_front_inf-Opercular_thickness,-9269.929581047863,0.3339546982373719,-0.179884457427724,-18498.77498974544,-0.1157728766478974,0.5130323777565804,6
11113.0,lh_G_front_inf-Orbital,-43.6314,30.9509,-10.276,12,lh_G_front_inf-Orbital_thickness,-2222.114634357062,0.2814397555756072,-0.1483131220396377,-4403.144957881264,-0.0280402842772071,0.576800573512106,6
11114.0,lh_G_front_inf-Triangul,-49.6582,30.0638,4.7465,13,lh_G_front_inf-Triangul_thickness,-7995.27463164232,0.3581935200289747,-0.1997450645541404,-15949.46495245178,-0.0254127467697298,0.4593894833172297,6
11115.0,lh_G_front_middle,-35.747,33.1098,31.8311,14,lh_G_front_middle_thickness,-12351.049851914931,0.4033083044770595,-0.2534321489109967,-24661.015392997004,-0.1513755947624645,0.6210900671502912,6
11116.0,lh_G_front_sup,-9.8816,26.3029,45.3459,15,lh_G_front_sup_thickness,-11341.460057554885,0.4058707322107532,-0.2564221865732993,-22641.835804276903,-0.1468322642022405,0.4620535432101635,6
