FS_LUT_ID,Label,R,A,S,Unnamed: 0,eid,NLL,EV,MSLL,BIC,Skew,Kurtosis,fold
11101.0,lh_G&S_frontomargin,-23.1251,56.7958,-8.8575,0,lh_G&S_frontomargin_thickness,-8838.54543096837,0.2721643523208724,-0.1506834044962305,-17636.04579439109,0.2771921864155479,0.938420119453158,1
11102.0,lh_G&S_occipital_inf,-37.2018,-82.6295,-13.1777,1,lh_G&S_occipital_inf_thickness,-8930.571629580223,0.2048448502205431,-0.1089776173392882,-17820.098191614798,0.0874369360596902,0.2267480872706661,1
11103.0,lh_G&S_paracentral,-7.9944,-33.1159,67.397,2,lh_G&S_paracentral_thickness,-3219.984500928258,0.2071547386353072,-0.098906547707464,-6398.923934310869,-0.0555941572587281,0.3536172240225831,1
11104.0,lh_G&S_subcentral,-55.8942,-11.3545,14.5476,3,lh_G&S_subcentral_thickness,-7532.804289808746,0.2600953831307093,-0.1265036970764869,-15024.563512071843,0.0653608861953695,0.379610352552292,1
11105.0,lh_G&S_transv_frontopol,-14.2706,63.5673,-0.6889,4,lh_G&S_transv_frontopol_thickness,-3032.265648433904,0.2532736411544614,-0.125808033032039,-6023.48622932216,0.2172548390808561,0.9444101565734258,1
11106.0,lh_G&S_cingul-Ant,-7.7783,38.9848,9.0119,5,lh_G&S_cingul-Ant_thickness,-12068.511289880907,0.2816735089689243,-0.1577010337532591,-24095.977512216166,0.1434727188533263,0.8263148460666775,1
11107.0,lh_G&S_cingul-Mid-Ant,-7.2655,16.0669,34.2914,6,lh_G&S_cingul-Mid-Ant_thickness,-1528.07292336966,0.2256837822055408,-0.1120882451676176,-3015.100779193673,-0.395074956837227,0.8503019824895356,1
11108.0,lh_G&S_cingul-Mid-Post,-7.1176,-11.6682,40.5827,7,lh_G&S_cingul-Mid-Post_thickness,-13253.950754879928,0.3279737413843192,-0.1922133442160449,-26466.85658206212,-0.1421213506838361,0.6204058994564869,1
11109.0,lh_G_cingul-Post-dorsal,-3.7206,-38.2292,30.6738,8,lh_G_cingul-Post-dorsal_thickness,-9383.475881257198,0.2922813954332345,-0.1490789573501966,-18725.906834816666,-0.0657223370830807,0.5240372286782218,1
11110.0,lh_G_cingul-Post-ventral,-7.5337,-48.8825,6.368,9,lh_G_cingul-Post-ventral_thickness,2469.553586379617,0.3452878944591598,-0.2011247136887961,4980.152240304881,-0.0085386722601706,0.2283788149353001,1
11111.0,lh_G_cuneus,-5.2448,-81.9967,17.0077,10,lh_G_cuneus_thickness,-13808.954152464605,0.3793900560125502,-0.241375708539231,-27576.86323738356,0.3363179600253652,0.9712831467338124,1
11112.0,lh_G_front_inf-Opercular,-49.8475,11.5337,9.0836,11,lh_G_front_inf-Opercular_thickness,-9296.437693402626,0.3253231331352373,-0.1762806437747264,-18551.83045910752,-0.1370471962636571,0.6773397999530031,1
11113.0,lh_G_front_inf-Orbital,-43.6314,30.9509,-10.276,12,lh_G_front_inf-Orbital_thickness,-2123.588847912586,0.2826636494703777,-0.1481175367958174,-4206.132628279525,-0.0194684971551608,0.570529881766717,1
11114.0,lh_G_front_inf-Triangul,-49.6582,30.0638,4.7465,13,lh_G_front_inf-Triangul_thickness,-7833.289959587854,0.3572088835046964,-0.1977608948701117,-15625.534851630062,-0.0254574163005061,0.4766562210423207,1
11115.0,lh_G_front_middle,-35.747,33.1098,31.8311,14,lh_G_front_middle_thickness,-12294.145582565436,0.4027996386266398,-0.2542043884985302,-24547.246097585223,-0.1904239927583845,0.6841177715995407,1
11116.0,lh_G_front_sup,-9.8816,26.3029,45.3459,15,lh_G_front_sup_thickness,-11321.621880693125,0.4018848367215945,-0.2532964652107443,-22602.1986938406,-0.1552870238203822,0.5982225665092848,1
,lh_G_Ins_lg&S_cent_ins,,,,16,lh_G_Ins_lg&S_cent_ins_thickness,3398.5679427669197,0.1364068693049016,-0.0696061259242795,6838.180953079485,0.0252498504828679,0.1416188315111544,1
11118.0,lh_G_insular_short,-37.1827,9.0123,-3.7319,17,lh_G_insular_short_thickness,2633.384026957195,0.121180195897727,-0.0639055434661485,5307.812981612122,-0.2204030347760656,0.3631649781536382,1
11119.0,lh_G_occipital_middle,-39.597,-83.6257,11.7755,18,lh_G_occipital_middle_thickness,-12175.826714135565,0.2337604983524934,-0.1303697531388113,-24310.60836072548,-0.1567371020828172,0.8231317514270242,1
11120.0,lh_G_occipital_sup,-14.6553,-88.777,27.3987,19,lh_G_occipital_sup_thickness,-8301.655740553088,0.2159483571836015,-0.120708562843433,-16562.266413560526,0.1506359377137756,0.4832426174957011,1
11121.0,lh_G_oc-temp_lat-fusifor,-34.6236,-53.8229,-19.7188,20,lh_G_oc-temp_lat-fusifor_thickness,-8765.669781949671,0.2578310605186297,-0.1241313496630987,-17490.294776054416,-0.170700229863256,0.589468971182844,1
11122.0,lh_G_oc-temp_med-Lingual,-10.7537,-71.924,-5.4271,21,lh_G_oc-temp_med-Lingual_thickness,-11987.90139299066,0.4738633667173698,-0.3375484176000071,-23934.757718435678,0.1250187029667754,0.3027140606896,1
11123.0,lh_G_oc-temp_med-Parahip,-23.5743,-17.2485,-27.3776,22,lh_G_oc-temp_med-Parahip_thickness,2117.722516298761,0.1333109783299245,-0.0668758234858876,4276.49010014317,-0.1879901299110973,0.2372627074256101,1
11124.0,lh_G_orbital,-27.2398,35.5644,-17.7082,23,lh_G_orbital_thickness,-10165.250365179489,0.3184551577551999,-0.1930847938695022,-20289.455662813325,0.0157025369890766,0.6395455759603468,1
